locality_id,name,zip_code,state
TyMXpd27ep,Nacimientos de San Antonio,K4750XBB,Catamarca
x6IeajvhT2,Nacimientos del Bolson,K4750XBC,Catamarca
ZBj5iSrLJD,Papa Chacra,K4750XBD,Catamarca
cr7lAGTsfV,Agua Colorada,K4707XAU,Catamarca
JaIYe-ro-9,Agua del Campo,K4750XAK,Catamarca
pHWXEnsq5f,Ampujaco,K4750XCO,Catamarca
CTeUg945UX,Angostura,K4750XAL,Catamarca
fQaSzC0SJo,Cachuan,K4750XBJ,Catamarca
10zh7lNMls,Chiquerito,K4750XAN,Catamarca
-ymHxdFP9O,Chucolay,K4750XAA,Catamarca
JEjCrMcT4F,Cueva Blanca,K4750XAC,Catamarca
rg5ZqEhuL1,Duraznillo,K4750XBO,Catamarca
TuUTB15Yuh,El Medio,K4750XCD,Catamarca
XblBX2eIX7,El Molino,K4750XBX,Catamarca
eJR11FjmXZ,El Portezuelo,K5260XED,Catamarca
wUrFaSM65j,Huaco,K4750XCB,Catamarca
V_DdbdrDp0,La Barranca Larga,K4750XBK,Catamarca
p2kIa-URdb,La Costa,K4750XDB,Catamarca
pR0FuhiSpq,La Puntilla,K5340XDN,Catamarca
0jzG4V7Jzy,La Represa,K4750XAD,Catamarca
xUJiGlFGiX,La Totora,K4750XAE,Catamarca
idMxXmGPyC,Las Latillas,K4728XAD,Catamarca
dZKmdglhow,Londres Este,K4750XDH,Catamarca
UoIWboByFn,Luna Aguada,K4750XAG,Catamarca
tcHNTQt1J4,Nacimiento,K4750XBL,Catamarca
WF4jhVtqXd,Nacimientos de Abajo,K4750XBM,Catamarca
WbCUINHnxJ,Ojo de la Cortadera,K4750XAH,Catamarca
3ZSO4aFHDH,Palo Blanco,K5340XAA,Catamarca
jIUMM34hwF,Chañarcito,K4707XAQ,Catamarca
OCBhli1RSA,El Bañado,K5260XBJ,Catamarca
7C4RYtSgCY,El Desmonte,K4723XBH,Catamarca
yXlBHCi6Yz,Estanque,K4707XAR,Catamarca
