streetId,isOdd,from,until,zip
00000065,true,10301,10399,B1691ABE
00000065,false,10302,10400,B1691ABF
00000065,true,10401,10499,B1691ABG
00000065,false,10402,10500,B1691ABH
00000065,true,10501,10599,B1691ABI
00000065,false,10502,10600,B1691ABJ
00000065,true,10601,10699,B1691ABK
00000065,false,10602,10700,B1691ABL
00000065,true,10701,10799,B1691ABM
00000065,false,10702,10800,B1691ABN
00000065,true,10801,10899,B1691ABO
00000065,false,10802,10900,B1691ABP
00000066,all,0,99999999,B1691AEA
00000067,true,10001,10099,B1691ANA
00000067,false,10002,10100,B1691ANB
00000067,true,10101,10199,B1691ANC
00000067,false,10102,10200,B1691AND
00000067,true,10201,10299,B1691ANE
00000067,false,10202,10300,B1691ANF
00000067,true,10301,10399,B1691ANG
00000067,false,10302,10400,B1691ANH
00000068,true,10001,10099,B1691AOA
00000068,true,10101,10199,B1691AOB
00000068,true,10201,10299,B1691AOC
00000069,false,10002,10100,B1691ADB
00000069,false,10102,10200,B1691ADD
00000069,false,10202,10300,B1691ADF
00000069,false,10302,10400,B1691ADH
00000069,false,10402,10500,B1691ADJ
00000069,false,10502,10600,B1691ADL
00000069,false,10602,10700,B1691ADN
00000069,false,10702,10800,B1691ADP
00000069,false,10802,10900,B1691ADR
00000069,false,10902,11000,B1691ADT
00000070,true,10001,10099,B1691AOA
00000070,true,10101,10199,B1691AOB
00000070,true,10201,10299,B1691AOC
00000071,true,10201,10299,B1691AAA
00000071,true,10301,10399,B1691AAB
00000071,true,10401,10499,B1691AAC
00000071,true,10501,10599,B1691AAD
00000071,true,10601,10699,B1691AAE
00000071,true,10701,10799,B1691AAF
00000071,true,10801,10899,B1691AAG
00000071,true,10901,10999,B1691AAH
00000072,true,10001,10099,B1691ANA
00000072,false,10002,10100,B1691ANB
00000072,true,10101,10199,B1691ANC
00000072,false,10102,10200,B1691AND
00000072,true,10201,10299,B1691ANE
00000072,false,10202,10300,B1691ANF
00000072,true,10301,10399,B1691ANG
00000072,false,10302,10400,B1691ANH
00000073,true,10101,10199,B1691ACA
00000073,false,10102,10200,B1691ACB
00000073,true,10201,10299,B1691ACC
00000073,false,10202,10300,B1691ACD
00000073,true,10301,10399,B1691ACE
00000073,false,10302,10400,B1691ACF
00000073,true,10401,10499,B1691ACG
00000073,false,10402,10500,B1691ACH
00000073,true,10501,10599,B1691ACI
00000073,false,10502,10600,B1691ACJ
00000073,true,10601,10699,B1691ACK
00000073,false,10602,10700,B1691ACL
00000073,true,10701,10799,B1691ACM
00000073,false,10702,10800,B1691ACN
00000073,true,10801,10899,B1691ACO
