id,name,zip,sate
0000694,Escuela 13,T4142XBD,Tucumán
0000695,Escuela 138,Buscar CPA,tucuman
0000696,Los Ralos,G4205XBE,Santiago del Estero
0000697,El Brete,A4126XAE,Salta
0000698,Escuela 67,T4152XAR,Tucumán
0000699,El Sunchal,A4430XAY,Salta
0000700,Tucumán,T4158XBG,La Calera
0000701,Tucumán,T4119XAB,La Toma
0000702,Barrosa,T4176XDS,Tucumán
0000703,Cañada Honda,T4101XBH,Tucumán
0000704,Escuela 274,T4152XBE,Tucumán
0000705,Ceibal,A4126XAD,Salta
0000706,Malvinas,T4129XAA,Tucumán
0000707,Villa Quinteros,Buscar CPA,Tucumán
0000708,Los Sarmientos,Buscar CPA,Tucumán
0000709,Tucumán,T4162XAR,Puesto los Robles
0000710,Tucumán,T4115XBT,Camas Amontonadas
0000711,Las Lenguas las Leguas,T4149XAD,Tucumán
0000712,San Jose de Lules,T4128XAD,Tucumán
0000713,Escuela 251,T4128XAM,Tucumán
0000714,Alto Cazadera,T4137XBQ,Tucumán
0000715,Pacara,T4119XBA,Tucumán
0000716,Escuela Joaquin V Gonzalez,T4162XBC,Tucumán
0000717,Santa Elena,T4135XAH,Tucumán
0000718,Escuela 294,T4162XAQ,Tucumán
0000719,Leales,T4113XAV,Tucumán
0000720,Manuela Pedraza,T4166XAN,Tucumán
0000721,Los Trejos,T4174XCA,Tucumán
0000722,Escuela 215,Buscar CPA,tucuman
0000723,La Banda,T4105XAR,Tucumán
0000724,Carrichango,Buscar CPA,tucuman
0000725,Tucumán,T4176XBM,La Soledad
0000726,Pozo Lapacho,T4186XAO,Tucumán
0000727,Tucumán,T4162XAH,Retiro
0000728,Cachi Yaco,T4124XDK,Tucumán
0000729,Tucumán,T4111XCC,Cevilarcito
0000730,Colonia Felipe,T4105XBN,Tucumán
0000731,Los Gramajos,T4159XAE,Tucumán
0000732,Loma Grande,T4174XAY,Tucumán
0000733,Tucumán,T4174XBR,La Loma
0000734,Cossio,T4119XCC,Tucumán
0000735,Escuela 254,T4128XAH,Tucumán
0000736,Escuela Fortunata Garcia,T4101XAZ,Tucumán
0000737,Laguna Grande,T4103XAE,Tucumán
0000738,Beltran,T4242XAG,Tucumán
0000739,Molles,T4242XBP,Tucumán
0000740,Entre Rios,T4174XBQ,Tucumán
0000741,Tucumán,T4124XEE,El Porvenir
0000742,El Chañar,Buscar CPA,Tucumán
0000743,Ing Mercedes,T4152XAB,Tucumán
0000744,Campo Redondo,T4124XDL,Tucumán
0000745,Escuela 48,T4101XAU,Tucumán
0000746,Los Rodriguez,T4135XAG,Tucumán
0000747,Boca de la Quebrada,T4162XCD,Tucumán
0000748,Tucumán,T4122XBK,Sauce Yacu
0000749,Macomita,T4117XAQ,Tucumán
0000750,Escuela 128,T4124XAL,Tucumán
0000751,Puesto Grande,T4122XAR,Tucumán
0000752,Las Mercedes,T4111XBV,Tucumán
0000753,Tucumán,T4111XCB,Candelillal
0000754,Alabama,Buscar CPA,tucuman
0000755,Ucuchacra,T4158XBI,Tucumán
