id,type,name,localityId
0000192,Pasaje,Pasaje Pje 2,0000376
0000193,Calle,Pasaje Raul Aragon,0001369
0000194,Pasaje,Calle San Cayetano,0000742
0000195,Calle,Calle Cordoba,0000760
0000196,Ruta Provincial,Calle 13,0000787
0000197,Calle,Calle Gral Manuel Belgrano,0000760
0000198,Calle,Pasaje 5 Noroeste,0001369
0000199,Calle,Calle Cap Medina,0001369
0000200,Calle,Pasaje Rio de Janeiro,0001369
0000201,Calle,Calle 5,0001157
0000202,Calle,Ruta Provincial Rp 380,0000391
0000203,Calle,Calle Colombres,0000899
0000204,Avenida,Calle Cabildo,0001157
0000205,Calle,Calle Trejo y Sanabria,0001369
0000206,Calle,Calle Sarmiento,0001177
0000207,Calle,Calle Lucio V Mansilla,0001369
0000208,Calle,Calle Marcos Paz,0000391
0000209,Calle,Calle Diego de Villarroel,0001369
0000210,Pasaje,Avenida Saenz Peña,0001369
0000211,Calle,Calle Jose Brizuela,0000376
0000212,Calle,Calle B Mitre,0001413
0000213,Calle,Calle San Miguel,0001157
0000214,Calle,Calle Jujuy,0000449
0000215,Calle,Calle Santa Fe,0000449
0000216,Calle,Pasaje C Gardel,0001413
0000217,Calle,Calle Lonardi,0001637
0000218,Calle,Calle Gdor Gral Balcarce,0001369
0000219,Calle,Calle Dr Lisandro de la Torre,0001615
0000220,Calle,Calle Salta,0000081
0000221,Calle,Calle Cnel Olleros,0001369
0000222,Pasaje,Calle 4,0001615
0000223,Calle,Calle Lola Mora,0000449
0000224,Pasaje,Calle Monteagudo,0001413
0000225,Calle,Calle Provincia de Catamarca,0001369
0000226,Calle,Calle Luis Dode,0001157
0000227,Calle,Calle Jujuy,0001516
0000228,Calle,Pasaje Pje 3,0000411
0000229,Pasaje,Calle Dr Torres,0001615
0000230,Calle,Pasaje Cordoba,0000113
0000231,Calle,Calle Bolivia,0001413
0000232,Pasaje,Calle 7 Este Oeste,0001101
0000233,Pasaje,Calle Maipu,0001620
0000234,Calle,Calle Granaderos,0001449
0000235,Pasaje,Pasaje 39 Se,0001369
0000236,Calle,Calle Colombia,0001369
0000237,Calle,Calle L N Alem,0001637
0000238,Pasaje,Pasaje Jose Genaro Zurita,0000911
0000239,Calle,Pasaje Cesar Carman,0001369
0000240,Calle,Calle B Mitre,0000760
0000241,Calle,Pasaje Pje 4,0000376
0000242,Calle,Calle 18,0001615
0000243,Calle,Calle Lamadrid,0000391
0000244,Avenida,Pasaje C Gardel,0000760
0000245,Pasaje,Calle Congreso,0001615
0000246,Pasaje,Calle Granaderos Oeste,0001620
0000247,Pasaje,Calle Bat de Ayacucho,0001369
0000248,Calle,Calle Bat de Tucuman,0000857
0000249,Avenida,Calle Laprida,0000391
0000250,Calle,Avenida America,0000449
0000251,Calle,Pasaje Rep de Colombia,0001157
0000252,Calle,Pasaje Ortiz de Zarate,0001369
0000253,Pasaje,Pasaje Velez Sarsfield,0001369
0000254,Calle,Calle S/N 1,0001536
0000255,Calle,Avenida Gral Guemes,0000707
0000256,Calle,Calle Ana Soviaran,0001369
0000257,Calle,Calle C F Bermudez,0001369
0000258,Calle,Calle Domingo F Sarmiento,0001516
0000259,Calle,Pasaje Bernabe Araoz,0000225
0000260,Calle,Calle Colonia 2,0000935
0000261,Calle,Calle San Martin,0001266
0000262,Avenida,Calle Madrid,0001449
0000263,Pasaje,Calle 5,0001620
0000264,Calle,Calle Matienzo,0000760
0000265,Calle,Calle F Cayetano Rodriguez,0000857
0000266,Calle,Calle La Rioja,0000113
0000267,Calle,Calle S/N 2,0000607
0000268,Calle,Avenida 24 de Septiembre,0001157
0000269,Calle,Ruta Nacional Rn 38,0001177
0000270,Calle,Pasaje Enrique Larreta,0001369
0000271,Pasaje,Calle Gral Jose Maria Paz,0001369
0000272,Avenida,Calle 24 de Septiembre,0001323
0000273,Calle,Calle Jose Hernandez,0001177
0000274,Pasaje,Calle Ramon Araujo,0001369
0000275,Pasaje,Calle S/N 1,0000081
0000276,Calle,Calle 25 de Mayo,0000707
0000277,Calle,Calle F Cayetano Rodriguez,0001369
0000278,Pasaje,Pasaje 25 de Mayo,0000632
0000279,Pasaje,Avenida L N Alem,0001413
0000280,Pasaje,Calle Victoria,0001413
0000281,Pasaje,Pasaje Juan Posse,0001157
0000282,Calle,Pasaje San Salvador de Jujuy,0001323
0000283,Calle,Calle Garcia Hamilton,0001369
0000284,Pasaje,Calle 1,0000787
0000285,Calle,Pasaje Farmacia,0001369
0000286,Calle,Pasaje Arturo Figueroa,0001620
0000287,Calle,Pasaje 1,0001369
0000288,Pasaje,Pasaje Pje 33 Suroeste,0001369
0000289,Calle,Calle 21,0001615
0000290,Calle,Calle Pres Gral J A Roca,0000899
0000291,Calle,Pasaje Dardo Molina,0001369
0000292,Calle,Calle Maria Eva Duarte de Peron,0001323
0000293,Calle,Diagonal Diag 72 Bis,0001369
0000294,Pasaje,Calle Corrientes,0001413
0000295,Pasaje,Calle Avellaneda,0001620
0000296,Pasaje,Pasaje Grimau y Galvez,0001369
0000297,Pasaje,Calle 12 de Octubre,0000760
0000298,Calle,Calle Bolivar,0001413
0000299,Calle,Calle Santa Fe,0000742
0000300,Pasaje,Calle Lucio V Lopez,0001369
0000301,Calle,Calle 20 de Junio,0000707
0000302,Ruta Provincial,Pasaje Haiti,0001157
0000303,Calle,Pasaje 34 no,0001369
0000304,Calle,Pasaje Comb de la Florida,0001369
0000305,Calle,Pasaje Mercedes Nougues,0000225
