Localidad,CPAs
colonia-toro-pujio,['X5139XAG']
colonia-udine,['Buscar CPA']
colonia-valle-grande,['X6121XAA']
colonia-valtelina,['X2413XAD']
colonia-veinticinco,['X2592XAA']
colonia-vicente-aguero,['X5221XAT']
colonia-videla,[]
colonia-vignaud,['Buscar CPA']
colonia-yareta,['X5137XAV']
colonia-yucat-sud,['Buscar CPA']
colonias,['X2436XAC']
columbo,['X5220XAT']
come-tierra,['X5875XAC']
comechingones,[]
concepcion,['X5871XAD']
condor-huasi,['X5871XAD']
conlara,['X5873XAC']
constitucion,['X5125XAA']
copacabana,['X5201XAU']
copina,['X5153XAG']
cordoba,[]
corimayo,['Buscar CPA']
corito,['Buscar CPA']
coronel-baigorria,['Buscar CPA']
coronel-moldes,['X5847XAB']
corral-de-barranca,['X5221XAT']
corral-de-bustos,['Buscar CPA']
corral-de-caballos,['X5870XAB']
corral-de-gomez,[]
corral-de-guardia,['X5940XAA']
corral-de-mulas,['X5945XAA']
corral-del-bajo,['X5913XAF']
corral-del-rey,['X5295XAF']
corral-viejo,['X2671XAD']
corralito,[]
corralito-san-javier,['X5879XAA']
cortaderas,['X2661XAA']
cosquin,['Buscar CPA']
costa-alegre,['Buscar CPA']
costa-del-rio-quinto,['X6271XAC']
costa-del-tambo,['X5801XAJ']
costa-sacate,['X5961XAB']
cotagaita,['Buscar CPA']
cristina,['X2424XAB']
cruz-alta,['X2189XAA']
cruz-chica,['X5178XAA']
cruz-del-eje,['Buscar CPA']
cruz-del-quemado,['X5221XAT']
cruz-mojada,['X5212XAO']
cuatro-caminos,['X2550XAC']
cuatro-vientos,['X5801XAJ']
cuchilla-nevada,['X5155XAL']
cuchillo-yaco,['X5295XAA']
cuesta-blanca,[]
curapaligue,['X6120XAE']
dalmacio-velez-sarsfield,[]
de-la-serna,['X6271XAC']
dean-funes,['Buscar CPA']
del-campillo,['X6271XAC']
demarchi,['X2684XAA']
desaguadero,['X5284XBB']
desvio-chalacea,['Buscar CPA']
desvio-el-volcan,['X5299XAN']
desvio-kilometro-57,['Buscar CPA']
devoto,['X2424XAB']
diego-de-rojas,['X5131XAW']
diez-rios,['X5875XAC']
dique-chico,['Buscar CPA']
dique-las-vaquerias,['X5168XAB']
dique-los-molinos,[]
dique-san-roque,['X5149XAB']
dolores-san-esteban,['X5182XAD']
domingo-funes,['X5164XAA']
dos-arroyos,['Buscar CPA']
dos-lagunas,['Buscar CPA']
dos-rios,[]
dos-rosas,['X2349XAD']
duarte-quiros,['X5119XAG']
dumesnil,['X5149XAB']
durazno,['X5244XAN']
el-aguila-blanca,['Buscar CPA']
el-alcalde,['Buscar CPA']
el-algadobal,['X5885XAB']
el-algarrobal,['X5295XAF']
el-algarrobo,['X5221XAT']
el-algodonal,['X5248XAB']
el-alto,[]
el-arbol,[]
el-bagual,['X5137XAV']
el-bajo,['X5889XAG']
el-baldecito,[]
el-barreal,[]
el-barrial,['X5285XAD']
el-bordo,['X5871XAD']
el-bosque,['Buscar CPA']
el-brete,['X5281XAY']
el-callejon,['X5172XAB']
el-cano,['X5821XAF']
el-caracol,['X5284XBB']
el-carmen,[]
el-carrilito,['Buscar CPA']
el-carrizal,[]
el-cerrito,[]
el-cerro,[]
el-chacho,[]
el-chanchito,[]
el-chingolo,[]
el-chiquillan,[]
el-coro,[]
el-corte,[]
el-creston-de-piedra,['X5236XAA']
el-crispin,[]
el-cuadrado,[]
el-descanso,[]
el-desmonte,['X5205XAA']
el-diquecito,[]
el-divisadero,[]
el-dorado,['Buscar CPA']
