id,tipo,nombre,localidadId,localidad,cpa
76995858-eb81-4e6a-93de-9cf04257f8bd,Calle,Cristobal Colon,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
31847699-2647-49e8-aed6-88a6b88eebf4,Calle,Domingo F Sarmiento,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AFA
5e31db91-a04f-4fce-b168-cc4fb33ed5bc,Calle,Dr Manuel Belgrano,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502APA
c30d0b1f-ad27-40f6-bcb3-f2103686567b,Calle,Dr Mariano Moreno,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502ARA
c0373a5b-a805-408e-a999-1e064dacec1e,Calle,Escalada de San Martin,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502ATA
b3caa446-0d83-47ef-bcd2-3f45a0256f84,Calle,España,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AGA
c227933a-ad16-4fb7-af4d-70f3777021d1,Calle,Gral Guemes,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
1cdae7cf-deac-42b0-b585-d9cd4cd2d3ab,Calle,Gral Paz,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AHA
73777bd2-3b60-4609-bfc7-117d8329fe1c,Avenida,Gral San Martin,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
fe524cfb-470a-437c-848a-b3c9a9b5b848,Calle,Jesus Hernandez,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
fbb7c43e-ecf2-4762-aadf-7d757c6a4566,Calle,John Kennedy,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502ALA
5c2a73d3-2752-4b84-861d-2519772f6b33,Calle,Jose de Vedia,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AJA
3add5914-dbd0-46a2-be88-ae670852e2c8,Calle,Juan Silva,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AMA
80c861f0-53ec-4189-85d5-0904a4847248,Calle,Juan XXIII,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502ANA
d287a2fa-c62e-4153-ba25-3b22fabf6dfe,Calle,Primera Junta,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
6b38fd87-11a0-46f3-921d-db238592724c,Calle,Rio Parana,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AUA
63242a9d-4ca8-41b1-9168-31066a6911d2,Calle,Ruben Esteban,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AVA
3e535ce2-f234-44c5-878e-953d5114451e,Calle,Santa Fe,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AWA
3a50e537-11ce-4a84-bacb-48cf9f254753,Calle,Alte G Brown,69aa72bd-72f8-469e-840d-69bdb7be4642,17 de Agosto,N/A
ef33496a-df5d-4aed-8404-56401f90679a,Calle,Belgrano,69aa72bd-72f8-469e-840d-69bdb7be4642,17 de Agosto,N/A
7d1535bb-4878-4b7c-8c36-41d677c94543,Calle,1,69aa72bd-72f8-469e-840d-69bdb7be4642,17 de Agosto,N/A
