id,name,zip,state
18665,Ampata,T4174XAW,Tucumán
18666,Ampatilla,T4174XBX,Tucumán
18667,Ampimpa,T4137XBV,Tucumán
18668,Amunpa,T4176XBN,Tucumán
18669,Anca Juli,T4105XAB,Tucumán
18670,Anchillos,T4141XAH,Tucumán
18671,Andres Ferreyra,T4178XBM,Tucumán
18672,Anegados,T4168XDH,Tucumán
18673,Anfana,T4105XAD,Tucumán
18674,Angostura,T4124XAB,Tucumán
18675,Animas,T4176XBZ,Tucumán
18676,Anjuana,T4141XAI,Tucumán
18677,Anta,T4124XDI,Tucumán
18678,Anta Chica,T4187XBI,Tucumán
18679,Antama,T4137XBB,Tucumán
18680,Antiguo Quilmes,T4137XBW,Tucumán
18681,Antillas,T4119XBO,Tucumán
18682,Antu Mapu,T4119XER,Tucumán
18683,Aparadero Militar Gral Muñoz,T4142XAF,Tucumán
18684,Aragon,T4122XBG,Tucumán
18685,Aragones,T4142XAK,Tucumán
18686,Aran,T4142XAL,Tucumán
18687,Aranilla,T4134XAB,Tucumán
18688,Araoz,T4178XFD,Tucumán
18689,Arbol Solo,T4178XAR,Tucumán
18690,Arboles Grandes,T4176XBO,Tucumán
18691,Arboles Verdes,T4176XBT,Tucumán
18693,Arenilla,T4134XAC,Tucumán
18694,Arocas,T4174XAO,Tucumán
18695,Arroyo Atahona,T4174XBY,Tucumán
18696,Arroyo Barriento,T4152XAT,Tucumán
18697,Arroyo de la Cruz,T4132XAQ,Tucumán
18698,Arroyo Mal Paso,T4157XAK,Tucumán
18699,Aserradero,T4101XBV,Tucumán
18700,Asna Yaco,T4119XES,Tucumán
18701,Atahona,T4172XAJ,Tucumán
18702,Avestilla,T4113XAB,Tucumán
18703,B Zorrilla,T4142XAG,Tucumán
18704,Bajastine,T4164XAC,Tucumán
18705,Bajo de los Sueldos,T4151XAL,Tucumán
18706,Bajo de Raco,T4103XAU,Tucumán
18707,Bajo Grande,T4111XAQ,Tucumán
18708,Balderrama,T4172XCH,Tucumán
18709,Balderrama Sur,T4174XBK,Tucumán
18710,Bañado del Valle,T4111XAR,Tucumán
18711,Banda,T4137XBX,Tucumán
18713,Barborin,T4124XCJ,Tucumán
18714,Barrancas,T4176XBP,Tucumán
18715,Barrancas Coloradas,T4132XBI,Tucumán
18716,Barranqueras,T4176XDR,Tucumán
18717,Barrealito,T4115XAK,Tucumán
18718,Barrio Belgrano,T4109XAC,Tucumán
18719,Barrio Casino,T4107XAF,Tucumán
18720,Barrio Diagonal,T4101XAE,Tucumán
18721,Barrio Rivadavia,T4101XAG,Tucumán
18722,Barrio Textil,T4146XBP,Tucumán
18723,Barrosa,T4176XDS,Tucumán
18724,Batiruana,T4162XCC,Tucumán
18725,Belicha Huaico,T4149XAJ,Tucumán
18727,Bello Horizonte,T4178XBN,Tucumán
18728,Beltran,T4242XAG,Tucumán
18729,Benjamin Araoz,T4119XET,Tucumán
18730,Benjamin Paz,T4122XAJ,Tucumán
18731,Bilca Pozo,T4111XBR,Tucumán
18732,Blanco Pozo,T4178XAS,Tucumán
18733,Boba Yacu,T4124XDJ,Tucumán
18734,Boca de la Quebrada,T4162XCD,Tucumán
18735,Boca del Tigre,T4178XAT,Tucumán
18736,Bracho Viejo,T4178XBO,Tucumán
18737,Buen Retiro,T4132XAR,Tucumán
18738,Buena Vista,T4172XCI,Tucumán
18739,Buena Vista Oeste,T4168XEU,Tucumán
18740,Buena Yerba,T4174XBL,Tucumán
18741,Burruyacu,T4119XBQ,Tucumán
18742,Bustamante,T4184XAB,Tucumán
18743,Cachi Huasi,T4113XBD,Tucumán
18744,Cachi Yaco,T4124XDK,Tucumán
18745,Cachi Yaco Apeadero Fcgb,T4113XBE,Tucumán
18746,Cachiyaco,T4168XEV,Tucumán
18747,Cajas Viejas,T4162XAF,Tucumán
18748,Calera Aconquija,T4119XBR,Tucumán
18749,Calera de Chirimayo,T4146XBQ,Tucumán
18750,California,T4119XBS,Tucumán
18751,Calimayo,T4105XBL,Tucumán
18752,Calimonte,T4141XAJ,Tucumán
18753,Camas Amontonadas,T4115XBT,Tucumán
18754,Camino del Peru,T4105XBD,Tucumán
18755,Campana,T4111XCD,Tucumán
18756,Campo Alegre,T4176XBW,Tucumán
18757,Campo Azul,T4115XBU,Tucumán
18758,Campo Bello,T4159XAJ,Tucumán
18759,Campo Blanco,T4137XBY,Tucumán
18760,Campo de las Gallinas,T4137XBZ,Tucumán
18761,Campo de los Cardones,T4137XCA,Tucumán
18762,Campo de los Chañares,T4137XCB,Tucumán
18763,Campo de Talamayo,T4158XBO,Tucumán
18764,Campo el Luisito,T4178XFO,Tucumán
18765,Campo el Mollar,T4178XFM,Tucumán
18766,Campo Grande,T4159XAB,Tucumán
18768,Campo la Cruz,T4161XAB,Tucumán
18769,Campo la Flor,T4178XAU,Tucumán
18770,Campo la Flor los Ralos,T4182XAE,Tucumán
18771,Campo Redondo,T4124XDL,Tucumán
18772,Campo Solco los Cochamolles,T4146XBR,Tucumán
18773,Campo Volante,T4172XCJ,Tucumán
18774,Campo Zauzal,T4137XCS,Tucumán
18775,Cañada,T4129XAE,Tucumán
18776,Cañada Alegre,T4119XBP,Tucumán
18777,Cañada Angosta,T4119XBT,Tucumán
18778,Cañada de Alzogaray,T4117XAI,Tucumán
18780,Cañada de los Negros,T4119XAE,Tucumán
18781,Cañada de Viclos,T4178XFN,Tucumán
18782,Cañada del Arenal,T4124XEW,Tucumán
18783,Cañada el Arenal,T4168XCX,Tucumán
18784,Cañada Honda,T4101XBH,Tucumán
18785,Cañada Larga,T4101XBI,Tucumán
18786,Cañada Yerba Buena,T4129XAM,Tucumán
18787,Cañadas,T4176XBU,Tucumán
18788,Candelillal,T4111XCB,Tucumán
18789,Cañete,T4186XAD,Tucumán
18790,Capilla,T4124XDM,Tucumán
18791,Capitan Caceres,T4142XAH,Tucumán
18792,Carancho Pozo,T4168XEW,Tucumán
18793,Carapunco,T4137XCP,Tucumán
18794,Carbon Pozo,T4111XAB,Tucumán
18795,Carolinas Bajas,T4117XAU,Tucumán
18796,Carreta Quemada,T4146XAX,Tucumán
18797,Carrichango,T4132XAS,Tucumán
18798,Casa de Campo,T4137XCQ,Tucumán
18799,Casa de Piedra,T4142XAM,Tucumán
18800,Casa de Piedras,T4158XBW,Tucumán
18801,Casa de Zinc,T4137XCR,Tucumán
18802,Casa del Alto,T4122XAK,Tucumán
18803,Casa Rosada,T4178XAV,Tucumán
18804,Casa Santa,T4176XBV,Tucumán
18805,Casa Vieja,T4162XAE,Tucumán
18806,Casales,T4119XBW,Tucumán
18807,Casas Viejas,T4124XDY,Tucumán
18808,Caspichango Viejo,T4142XAI,Tucumán
18809,Caspinchango,T4135XAC,Tucumán
18810,Castillas,T4172XAD,Tucumán
18811,Ceja Pozo,T4187XAA,Tucumán
18812,Cejas de Aroca,T4172XCK,Tucumán
18813,Cejas de Beñachillos,T4178XAW,Tucumán
18814,Cerco Cuatro,T4178XBP,Tucumán
18815,Cervalito,T4124XDZ,Tucumán
18816,Cevil Grande,T4155XAH,Tucumán
18817,Cevil Pozo,T4178XAX,Tucumán
18819,Cevil Solo,T4157XAL,Tucumán
18820,Cevilarcito,T4111XCC,Tucumán
18821,Chabela,T4117XAC,Tucumán
18822,Chalchacito,T4242XAH,Tucumán
18823,Chamico,T4119XBX,Tucumán
18824,Chañar,T4176XBX,Tucumán
18825,Chañar Muya,T4168XEX,Tucumán
18826,Chañar Pago,T4111XBL,Tucumán
18827,Chañar Pozo,T4168XEY,Tucumán
18828,Chañar Taqueño,T4117XAV,Tucumán
18829,Chañar Via,T4117XAD,Tucumán
18830,Chañar Viejo,T4117XAE,Tucumán
18831,Chañarito,T4168XEZ,Tucumán
18832,Chañaritos,T4242XAI,Tucumán
18833,Chasquivil,T4105XAE,Tucumán
18834,Chavarria,T4155XAI,Tucumán
18835,Chigligasta,T4172XCL,Tucumán
18836,Chilca,T4242XAP,Tucumán
18837,Chilcal,T4111XBW,Tucumán
18838,Chilcar,T4142XAN,Tucumán
18839,Chilcas,T4119XFM,Tucumán
18840,Choromoro,T4122XAL,Tucumán
18841,Chorrillos,T4101XCV,Tucumán
18842,Chulca,T4124XCK,Tucumán
18843,Churqui,T4119XFJ,Tucumán
18844,Chuscha,T4122XAM,Tucumán
18845,Cienaguita,T4137XCJ,Tucumán
18846,Ciudacita,T4172XCM,Tucumán
18847,Cochamolle,T4146XBS,Tucumán
18848,Cochuna,T4149XAE,Tucumán
18849,Coco,T4242XAQ,Tucumán
18850,Cohigac,T4178XAY,Tucumán
18852,Colmena Lolita,T4182XAC,Tucumán
18854,Colonia 4,T4178XFQ,Tucumán
18855,Colonia 4 de Colombres,T4178XFR,Tucumán
18856,Colonia 6,T4142XAC,Tucumán
18857,Colonia Acevedo,T4132XBM,Tucumán
18858,Colonia Agricola,T4111XBJ,Tucumán
18859,Colonia Argentina,T4111XBK,Tucumán
18860,Colonia Bascary,T4132XBN,Tucumán
18861,Colonia el Puesto,T4178XAE,Tucumán
18862,Colonia el Sunchal,T4168XAC,Tucumán
18863,Colonia el Tarco,T4178XAF,Tucumán
18864,Colonia Fara,T4147XAA,Tucumán
18865,Colonia Felipe,T4105XBN,Tucumán
18866,Colonia Humaita Primera,T4151XAF,Tucumán
18867,Colonia Juan Jose Iramain,T4147XAB,Tucumán
18868,Colonia la Bonaria,T4178XAG,Tucumán
18869,Colonia la Ortiz,T4178XBR,Tucumán
18870,Colonia la Roca,T4178XBS,Tucumán
18871,Colonia Lolita Norte,T4182XAD,Tucumán
18872,Colonia los Chasales,T4105XBO,Tucumán
18873,Colonia los Hills,T4101XBJ,Tucumán
18874,Colonia Maria Elena,T4129XAF,Tucumán
18875,Colonia Marull,T4152XAU,Tucumán
18876,Colonia Mercedes,T4178XAH,Tucumán
18877,Colonia Mistol,T4178XBT,Tucumán
18878,Colonia Monteros,T4178XBU,Tucumán
18879,Colonia Naschi,T4152XAV,Tucumán
18880,Colonia Nro 2,T4187XAB,Tucumán
18881,Colonia Nueva Trinidad,T4152XAX,Tucumán
18882,Colonia Pacara,T4132XBO,Tucumán
18883,Colonia Pedro Leon Cornet,T4147XAC,Tucumán
18884,Colonia San Luis,T4178XBV,Tucumán
18885,Colonia San Miguel,T4178XBW,Tucumán
18886,Colonia San Ramon,T4101XBZ,Tucumán
18887,Colonia Santa Catalina,T4142XAO,Tucumán
18888,Colonia Santa Clara,T4132XAT,Tucumán
18889,Colonia Santa Lucia,T4132XBP,Tucumán
18890,Colonia Santa Marina,T4142XAJ,Tucumán
18891,Colonia Santa Rita,T4132XBQ,Tucumán
18892,Colonia Sarmiento,T4101XCA,Tucumán
18893,Colonia Sobrecasa,T4168XDS,Tucumán
18894,Colonia Tacapunco,T4105XBP,Tucumán
18895,Comuna la Esperanza,T4103XAI,Tucumán
18896,Concepcion,T4119XCD,Tucumán
18897,Condor Huasi,T4115XAM,Tucumán
18898,Consimo,T4174XAQ,Tucumán
18899,Cooperativa Agronomica,T4119XCE,Tucumán
18900,Coromama,T4119XCF,Tucumán
18901,Corona,T4174XBM,Tucumán
18902,Corral Blanco,T4137XCK,Tucumán
18903,Corral Grande,T4137XCL,Tucumán
18904,Corral Viejo,T4124XCL,Tucumán
18905,Cortaderal,T4111XAS,Tucumán
18906,Cortaderas,T4111XAT,Tucumán
18907,Cossio,T4119XCC,Tucumán
18908,Costa Arroyo Esquina,T4111XAU,Tucumán
18909,Costa del Rio Seco,T4149XAP,Tucumán
18910,Costilla,T4142XAP,Tucumán
18911,Criollas,T4122XBH,Tucumán
18912,Cruz Alta,T4178XBY,Tucumán
18913,Cruz de Abajo,T4119XCG,Tucumán
18914,Cruz del Norte Estacion Fcgm,T4178XBL,Tucumán
18915,Cuatro Gatos,T4107XAG,Tucumán
18916,Cuatro Sauces,T4105XBJ,Tucumán
18917,Cuchillas,T4101XBY,Tucumán
18918,Cuesta de Chilca,T4146XAR,Tucumán
18919,Cuesta de la Chilca,T4153XAD,Tucumán
18920,Curva de los Vegas,T4105XAK,Tucumán
18921,Delfin Gallo,T4117XBA,Tucumán
18922,Descanso,T4119XCH,Tucumán
18923,Desmonte,T4122XAN,Tucumán
18924,Dique Escaba,T4158XBM,Tucumán
18925,Dolavon,T4161XAL,Tucumán
18926,Domingo Millan,T4161XAF,Tucumán
18927,Donato Alvarez,T4161XAE,Tucumán
18928,Dos Pozos,T4176XBY,Tucumán
18929,Durazno,T4242XAR,Tucumán
18930,Duraznos Blancos,T4135XAD,Tucumán
18931,El Aguilar,T4168XDT,Tucumán
18932,El Alpizar,T4124XEA,Tucumán
18933,El Antigal,T4137XCM,Tucumán
18934,El Arbolar,T4141XAK,Tucumán
18935,El Arbolito,T4187XDP,Tucumán
18936,El Arenal,T4124XEB,Tucumán
18937,El Arqueal,T4137XCN,Tucumán
18938,El Aserradero,T4117XAB,Tucumán
18939,El Atacal,T4119XCK,Tucumán
18940,El Atacat,T4168XDU,Tucumán
18941,El Azul,T4119XCL,Tucumán
18942,El Bachi,T4187XBJ,Tucumán
18943,El Bagual,T4178XFG,Tucumán
18944,El Bajo,T4164XAD,Tucumán
18945,El Bañado,T4141XAC,Tucumán
18946,El Barco,T4119XBZ,Tucumán
18947,El Barranquero,T4176XCX,Tucumán
18948,El Barrialito,T4119XFI,Tucumán
18949,El Batiruano,T4158XAM,Tucumán
18950,El Boyero,T4124XEC,Tucumán
18952,El Brete,T4124XDN,Tucumán
18953,El Cadillal,T4124XDO,Tucumán
18954,El Cajon,T4119XCA,Tucumán
18955,El Campo,T4176XCY,Tucumán
18956,El Carbon,T4184XAA,Tucumán
18957,El Cardenal,T4178XAI,Tucumán
18958,El Carmen,T4137XCO,Tucumán
18959,El Carmen Puente Alto,T4178XCC,Tucumán
18960,El Carrizal,T4141XAD,Tucumán
18961,El Casial,T4137XCX,Tucumán
18962,El Casialito,T4137XCY,Tucumán
18963,El Castoral,T4168XDV,Tucumán
18964,El Catorce,T4105XCM,Tucumán
18965,El Cebil,T4152XAY,Tucumán
18966,El Cedro,T4122XAO,Tucumán
18967,El Ceibal,T4128XAJ,Tucumán
18968,El Cercado,T4142XAW,Tucumán
18969,El Cevilar,T4178XBQ,Tucumán
18970,El Cevilar Colombres,T4111XAG,Tucumán
18972,El Chilcar,T4172XCN,Tucumán
18973,El Chorro,T4124XFA,Tucumán
18974,El Churqui,T4158XAV,Tucumán
18975,El Churquis,T4142XAX,Tucumán
18976,El Cochuchal,T4117XBB,Tucumán
18977,El Colcolar,T4162XAL,Tucumán
18978,El Corralito,T4158XAS,Tucumán
18979,El Cortaderal,T4168XCE,Tucumán
18980,El Corte,T4178XCD,Tucumán
